wl,charge,E_lower,log_gf,sun_ew,sco_ew,sun_A,sco_A
5044.211,0,2.8512,-2.058,74.3,74.8,7.479169248395722,7.529973019104721
5054.642,0,3.64,-1.921,40.5,40.9,7.42422088320283,7.470711432117186
5127.359,0,0.915,-3.307,96.1,97.5,7.453836094025727,7.512192580370535
5127.679,0,0.052,-6.125,19.1,18.9,7.518756031140042,7.572202045199583
5197.577,1,3.2306,-2.22,80.7,84.0,7.449436255471412,7.507771283840694
5198.711,0,2.223,-2.135,98.1,99.3,7.472167707919682,7.527727790776761
5225.525,0,0.1101,-4.789,72.1,72.5,7.467507615372016,7.522140471261856
5234.625,1,3.2215,-2.18,80.7,83.5,7.437432279689002,7.493346955491436
5242.491,0,3.634,-0.967,86.9,88.3,7.437034600822892,7.491546246375232
5247.05,0,0.0872,-4.946,66.9,67.4,7.467908397052503,7.52361883729134
5250.208,0,0.1212,-4.938,65.9,66.3,7.468462228172721,7.523549731212426
5264.812,1,3.2304,-3.13,45.8,48.6,7.463067397365523,7.521688102195352
5295.312,0,4.415,-1.49,30.3,31.0,7.450385521509658,7.495516481119322
5322.041,0,2.279,-2.8,61.5,62.9,7.442004412171927,7.50011054365551
5325.553,1,3.2215,-3.16,41.3,42.7,7.425404512867942,7.472310796058451
5373.709,0,4.473,-0.77,63.9,65.2,7.4648873902940975,7.517643825040995
5379.574,0,3.694,-1.514,61.5,62.9,7.464801940049002,7.520236303821007
5386.334,0,4.154,-1.74,33.6,34.8,7.498715630211079,7.5506383176059195
5414.073,1,3.2215,-3.58,26.7,28.5,7.438184069322238,7.490471850227159
5425.257,1,3.1996,-3.22,41.3,43.0,7.439722638153419,7.488981040387032
5466.396,0,4.371,-0.565,79.4,81.3,7.455360250610585,7.510664320379575
5466.987,0,3.573,-2.23,35.2,35.8,7.484756958544193,7.532635420987133
5522.446,0,4.209,-1.31,43.7,45.8,7.410481187368744,7.471978567252648
5546.506,0,4.371,-1.18,51.4,52.6,7.4879902515453685,7.538230778998041
5560.211,0,4.434,-1.16,52.0,53.8,7.509483087991259,7.563759872338421
5577.02,0,5.0331,-1.455,11.2,11.9,7.411912803055245,7.46282190788034
5618.633,0,4.209,-1.276,50.2,51.8,7.454448973005327,7.509564715883876
5636.696,0,3.64,-2.56,19.7,20.7,7.489548979012318,7.546978428472018
5638.262,0,4.22,-0.81,77.6,78.8,7.479020962710993,7.530421301523049
5649.987,0,5.0995,-0.8,35.9,37.8,7.46689890296033,7.52143834235214
5651.469,0,4.473,-1.75,18.9,20.3,7.461077027521931,7.52367822700597
