species,Z,A,Sun
Fe I,26,7.37257111774542,7.46
Fe I,26,7.382871767967072,7.46
Fe I,26,7.334091858805464,7.46
Ti I,22,4.86823397803133,4.97
Ti II,22,4.9403591718196305,4.97
Fe II,26,7.48464602622852,7.46
Ca I,20,6.18139999060306,6.3
Fe II,26,7.480880656902269,7.46
Ti II,22,4.972966514119049,4.97
Mg I,12,7.473793790277249,7.55
Fe II,26,7.4483816802701766,7.46
Ti II,22,4.958335251253581,4.97
Cr II,24,5.64456234068939,5.62
Cr II,24,5.666101679754365,5.62
Fe I,26,7.38179396302812,7.46
Fe II,26,7.468638288132208,7.46
Ti II,22,4.919129423253709,4.97
Ti II,22,4.919529415776985,4.97
Mn I,25,5.354952757219265,5.42
Zn I,30,4.593601832712557,4.56
Mg I,12,7.560596096096794,7.55
Mn I,25,5.356670112054294,5.42
Sc I,21,2.9265294980212104,3.14
Na I,11,6.163987607405043,6.22
Ti I,22,4.805289734203585,4.97
Ti I,22,4.821696679623683,4.97
Fe I,26,7.377824181577944,7.46
Cr I,24,5.492915896376978,5.62
Zn I,30,4.56393031594538,4.56
Ti I,22,4.857020853878902,4.97
Ti II,22,4.9893994208886365,4.97
Ti II,22,4.915789862862711,4.97
V I,23,3.7993992541173878,3.9
Ti II,22,4.893009314615328,4.97
Ti I,22,4.856081393924434,4.97
Cr I,24,5.509516671029885,5.62
Fe I,26,7.4239624065020475,7.46
Ni I,28,6.1863241357348,6.2
Fe II,26,7.493778238368903,7.46
Fe I,26,7.36994584652051,7.46
Mn I,25,5.241056567943043,5.42
Ni I,28,6.157669363893555,6.2
Ti I,22,4.905721952220202,4.97
Fe I,26,7.418973821302731,7.46
C I,6,8.484337361949443,8.46
Fe I,26,7.328111692023594,7.46
Sc I,21,2.8292709293301437,3.14
Cu I,29,4.23214348752604,4.18
Ti I,22,4.792969284097135,4.97
Fe I,26,7.383105574916314,7.46
Fe I,26,7.256354431585947,7.46
Ti I,22,4.776323130571768,4.97
Na I,11,6.118204966819861,6.22
Ni I,28,6.145312855373438,6.2
Fe II,26,7.458751552919411,7.46
Fe I,26,7.407932985989141,7.46
Ti II,22,4.97264132205048,4.97
Co I,27,4.779503453685807,4.94
Cr I,24,5.4737685240393565,5.62
Cu I,29,4.063418614623064,4.18
Ti I,22,4.778876427677105,4.97
Cu I,29,4.027635950211099,4.18
Fe I,26,7.393849418933909,7.46
Fe II,26,7.471163369308545,7.46
Cr II,24,5.642796813293126,5.62
Cr I,24,5.390893988996386,5.62
Fe I,26,7.373015008330733,7.46
Cr II,24,5.5670637440600075,5.62
Fe I,26,7.36477076148827,7.46
Cr I,24,5.552540081448421,5.62
Co I,27,4.774702968005864,4.94
Fe I,26,7.374734506767116,7.46
Ca I,20,6.146471615114281,6.3
Fe II,26,7.518418435986611,7.46
Cr I,24,5.479149067780363,5.62
